name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Neal Road,tertiary,False,210.253,2,56.3,35 mph,13.4,"LINESTRING (-121.6528 39.72990599999999, -121.652443 39.73026, -121.652236 39.730557, -121.652145 39.73074099999999, -121.651976 39.731085, -121.6517257 39.7315909)"
Neal Road,tertiary,False,103.67,2,56.3,35 mph,6.6,"LINESTRING (-121.6517257 39.7315909, -121.6512179 39.7324375)"
Neal Road,tertiary,False,210.253,2,56.3,35 mph,13.4,"LINESTRING (-121.6517257 39.7315909, -121.651976 39.731085, -121.652145 39.73074099999999, -121.652236 39.730557, -121.652443 39.73026, -121.6528 39.72990599999999)"
Neal Road,tertiary,False,51.836,2,56.3,35 mph,3.3,"LINESTRING (-121.650938 39.732851, -121.6512179 39.7324375)"
Neal Road,tertiary,False,58.882,2,56.3,35 mph,3.8,"LINESTRING (-121.650938 39.732851, -121.6506339 39.73332609999999)"
Neal Road,tertiary,False,103.67,2,56.3,35 mph,6.6,"LINESTRING (-121.6512179 39.7324375, -121.6517257 39.7315909)"
Neal Road,tertiary,False,51.836,2,56.3,35 mph,3.3,"LINESTRING (-121.6512179 39.7324375, -121.650938 39.732851)"
Neal Road,tertiary,False,62.571,2,56.3,35 mph,4.0,"LINESTRING (-121.6503111 39.7338311, -121.6506339 39.73332609999999)"
Neal Road,tertiary,False,33.501,2,56.3,35 mph,2.1,"LINESTRING (-121.6503111 39.7338311, -121.650137 39.734101)"
Neal Road,tertiary,False,58.882,2,56.3,35 mph,3.8,"LINESTRING (-121.6506339 39.73332609999999, -121.650938 39.732851)"
Neal Road,tertiary,False,62.571,2,56.3,35 mph,4.0,"LINESTRING (-121.6506339 39.73332609999999, -121.6503111 39.7338311)"
Neal Road,tertiary,False,139.863,2,56.3,35 mph,8.9,"LINESTRING (-121.6495296 39.7352597, -121.649549 39.73518599999999, -121.649598 39.73501100000001, -121.649653 39.73485399999999, -121.649743 39.73467899999999, -121.649978 39.73432199999998, -121.650045 39.73423699999999, -121.650137 39.734101)"
