name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Clark Road,secondary,False,166.719,,88.5,55 mph,6.8,"LINESTRING (-121.612852 39.72826899999999, -121.612861 39.728366, -121.61286 39.728514, -121.612851 39.728672, -121.61283 39.72882500000001, -121.612803 39.72897300000001, -121.6126331 39.72975480000001)"
Clark Road,secondary,False,258.599,,88.5,55 mph,10.5,"LINESTRING (-121.6126331 39.72975480000001, -121.612507 39.73033499999999, -121.612483 39.730491, -121.61246 39.73063599999998, -121.612431 39.730928, -121.612422 39.731221, -121.61243 39.73151399999999, -121.612478 39.73206800000001)"
Clark Road,secondary,False,166.719,,88.5,55 mph,6.8,"LINESTRING (-121.6126331 39.72975480000001, -121.612803 39.72897300000001, -121.61283 39.72882500000001, -121.612851 39.728672, -121.61286 39.728514, -121.612861 39.728366, -121.612852 39.72826899999999)"
Pentz Road,tertiary,False,259.394,,56.3,35 mph,16.6,"LINESTRING (-121.574167 39.731343, -121.574077 39.73174299999999, -121.573992 39.73207500000001, -121.573929 39.732273, -121.573878 39.732479, -121.573565 39.733629)"
Clark Road,secondary,False,304.49699999999996,,88.5,55 mph,12.4,"LINESTRING (-121.612478 39.73206800000001, -121.612588 39.73333099999999, -121.612659 39.73429599999999, -121.612701 39.73480099999998)"
Clark Road,secondary,False,258.59899999999993,,88.5,55 mph,10.5,"LINESTRING (-121.612478 39.73206800000001, -121.61243 39.73151399999999, -121.612422 39.731221, -121.612431 39.730928, -121.61246 39.73063599999998, -121.612483 39.730491, -121.612507 39.73033499999999, -121.6126331 39.72975480000001)"
Pentz Road,tertiary,False,114.146,,56.3,35 mph,7.3,"LINESTRING (-121.573565 39.733629, -121.573293 39.734634)"
Pentz Road,tertiary,False,259.394,,56.3,35 mph,16.6,"LINESTRING (-121.573565 39.733629, -121.573878 39.732479, -121.573929 39.732273, -121.573992 39.73207500000001, -121.574077 39.73174299999999, -121.574167 39.731343)"
Pentz Road,tertiary,False,114.146,,56.3,35 mph,7.3,"LINESTRING (-121.573293 39.734634, -121.573565 39.733629)"
Pentz Road,tertiary,False,95.58099999999999,,56.3,35 mph,6.1,"LINESTRING (-121.573293 39.734634, -121.573127 39.735204, -121.573056 39.735474)"
Clark Road,secondary,False,108.21100000000001,,88.5,55 mph,4.4,"LINESTRING (-121.612701 39.73480099999998, -121.612725 39.73508699999999, -121.612769 39.73560199999999, -121.6127834 39.73577209999999)"
Clark Road,secondary,False,304.49699999999996,,88.5,55 mph,12.4,"LINESTRING (-121.612701 39.73480099999998, -121.612659 39.73429599999999, -121.612588 39.73333099999999, -121.612478 39.73206800000001)"
Clark Road,secondary,False,98.995,,88.5,55 mph,4.0,"LINESTRING (-121.6127834 39.73577209999999, -121.6128586 39.73666049999999)"
Clark Road,secondary,False,108.211,,88.5,55 mph,4.4,"LINESTRING (-121.6127834 39.73577209999999, -121.612769 39.73560199999999, -121.612725 39.73508699999999, -121.612701 39.73480099999998)"
Pentz Road,tertiary,False,380.257,,56.3,35 mph,24.3,"LINESTRING (-121.573056 39.735474, -121.572932 39.73591799999999, -121.572872 39.736192, -121.572737 39.73698799999999, -121.572671 39.73760900000001, -121.572543 39.73857599999999, -121.572508 39.73878699999999, -121.5725 39.73886400000001)"
