name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Pearson Road,secondary,False,111.99400000000001,4,48.3,30 mph,8.3,"LINESTRING (617945.8223378896 4401147.039456631, 617925.8334358828 4401148.508559906, 617913.5413917063 4401150.98411024, 617889.954703933 4401157.948906563, 617875.9718430875 4401164.506192073, 617846.0576502677 4401177.280067154, 617839.571160509 4401180.044716499)"
Pearson Road,secondary,False,118.806,4,48.3,30 mph,8.9,"LINESTRING (617945.8223378896 4401147.039456631, 617961.3341176317 4401146.944815815, 618002.5202453355 4401149.021216861, 618021.7159289884 4401148.983343158, 618061.2896380151 4401150.036104919, 618064.7953664527 4401150.53410768)"
Pearson Road,secondary,False,111.99400000000001,4,48.3,30 mph,8.3,"LINESTRING (617839.571160509 4401180.044716499, 617846.0576502677 4401177.280067154, 617875.9718430875 4401164.506192073, 617889.954703933 4401157.948906563, 617913.5413917063 4401150.98411024, 617925.8334358828 4401148.508559906, 617945.8223378896 4401147.039456631)"
Pearson Road,secondary,False,116.80099999999999,4,48.3,30 mph,8.7,"LINESTRING (617839.571160509 4401180.044716499, 617821.0324495898 4401187.531302788, 617731.7594952265 4401225.461431875)"
Pearson Road,secondary,False,118.80600000000001,4,48.3,30 mph,8.9,"LINESTRING (618064.7953664527 4401150.53410768, 618061.2896380151 4401150.036104919, 618021.7159289884 4401148.983343158, 618002.5202453355 4401149.021216861, 617961.3341176317 4401146.944815815, 617945.8223378896 4401147.039456631)"
Pearson Road,secondary,False,148.36,4,48.3,30 mph,11.1,"LINESTRING (618064.7953664527 4401150.53410768, 618102.8989787956 4401152.452609529, 618135.337967388 4401154.950207067, 618152.4672656081 4401155.546958331, 618170.0112508477 4401157.03827489, 618213.2682955896 4401157.626755557)"
Jarvis Lane,residential,False,180.11900000000003,2,40.2,25 mph,16.1,"LINESTRING (616603.161422477 4399535.985513448, 616574.650305718 4399533.998364937, 616561.2167406521 4399543.785913878, 616539.6333727879 4399576.652241669, 616522.3059986536 4399611.470493208, 616523.4721272337 4399653.230410809, 616513.787223929 4399664.518140992)"
Jarvis Lane,residential,False,180.11899999999997,2,40.2,25 mph,16.1,"LINESTRING (616513.787223929 4399664.518140992, 616523.4721272337 4399653.230410809, 616522.3059986536 4399611.470493208, 616539.6333727879 4399576.652241669, 616561.2167406521 4399543.785913878, 616574.650305718 4399533.998364937, 616603.161422477 4399535.985513448)"
Skyway,trunk,False,112.28599999999999,4,72.4,45 mph,5.6,"LINESTRING (616043.7448008311 4400512.336710346, 616059.9145865899 4400513.569226536, 616090.5276114594 4400514.03215595, 616114.7026047244 4400511.233846094, 616142.1695085135 4400503.833828512, 616154.8629115553 4400501.472518814)"
Nunneley Road,tertiary,False,61.807,2,53.7,,4.1,"LINESTRING (619495.0309778459 4401594.873769145, 619433.1002502005 4401593.465512119)"
Nunneley Road,tertiary,False,181.40499999999997,2,53.7,,12.2,"LINESTRING (619495.0309778459 4401594.873769145, 619545.1413089953 4401595.987345222, 619616.3241258119 4401597.540728771, 619643.4720871974 4401598.519068192, 619676.7967638995 4401599.038743311)"
Nunneley Road,tertiary,False,61.807,2,53.7,,4.1,"LINESTRING (619433.1002502005 4401593.465512119, 619495.0309778459 4401594.873769145)"
Nunneley Road,tertiary,False,136.697,2,53.7,,9.2,"LINESTRING (619433.1002502005 4401593.465512119, 619369.5418354056 4401592.032434249, 619318.4718947072 4401592.01526831, 619296.1161184586 4401591.445637262)"
Nunneley Road,tertiary,False,181.40500000000003,2,53.7,,12.2,"LINESTRING (619676.7967638995 4401599.038743311, 619643.4720871974 4401598.519068192, 619616.3241258119 4401597.540728771, 619545.1413089953 4401595.987345222, 619495.0309778459 4401594.873769145)"
Nunneley Road,tertiary,False,113.28899999999999,2,53.7,,7.6,"LINESTRING (619676.7967638995 4401599.038743311, 619700.9619391654 4401598.971598443, 619730.3372525278 4401599.984991733, 619758.2718043966 4401599.976843529, 619790.2993435506 4401601.253897984)"
Skyway,secondary,False,419.12000000000006,4,56.3,35 mph,26.8,"LINESTRING (616851.1547927839 4400583.22462719, 616956.4428466266 4400684.499213835, 617081.6700375446 4400806.528838429, 617090.1021534493 4400815.5388356, 617100.9968261593 4400826.029635872, 617112.262682642 4400836.903574694, 617116.5358717521 4400841.032004016, 617133.6586440123 4400858.945020534, 617144.6838875012 4400872.102291174, 617149.3800172618 4400877.713723256)"
