name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Buschmann Road,residential,False,39.216,,40.2,,3.5,"LINESTRING (617763.726858841 4400750.464148705, 617803.0292462575 4400750.900742095)"
Sierra Park Drive,residential,False,120.268,,40.2,,10.8,"LINESTRING (617763.726858841 4400750.464148705, 617767.2388220544 4400778.494423199, 617771.519091127 4400795.545765351, 617777.101508824 4400811.50691825, 617783.4856418385 4400825.482065691, 617791.840288318 4400839.487461153, 617796.7106692411 4400846.001221217, 617809.3946207672 4400858.219093365)"
Buschmann Road,residential,False,101.521,,40.2,,9.1,"LINESTRING (617763.726858841 4400750.464148705, 617751.7440619313 4400749.503183441, 617738.8034972876 4400749.526701557, 617730.1569756255 4400748.950000856, 617715.8472889261 4400748.841539888, 617662.0356098139 4400748.460498244)"
Kemlyn Lane,residential,False,101.864,,40.2,,9.1,"LINESTRING (617803.0292462575 4400750.900742095, 617806.6114734081 4400649.27486129)"
Buschmann Road,residential,False,39.216,,40.2,,3.5,"LINESTRING (617803.0292462575 4400750.900742095, 617763.726858841 4400750.464148705)"
Buschmann Road,residential,False,49.16,,40.2,,4.4,"LINESTRING (617803.0292462575 4400750.900742095, 617814.9648416447 4400751.028432341, 617819.4988838969 4400751.542099813, 617852.2529045455 4400752.611143803)"
Sierra Park Drive,residential,False,109.682,,40.2,,9.8,"LINESTRING (617809.3946207672 4400858.219093365, 617820.9366175587 4400870.019794984, 617881.2551139006 4400941.042440343)"
Sierra Park Drive,residential,False,120.268,,40.2,,10.8,"LINESTRING (617809.3946207672 4400858.219093365, 617796.7106692411 4400846.001221217, 617791.840288318 4400839.487461153, 617783.4856418385 4400825.482065691, 617777.101508824 4400811.50691825, 617771.519091127 4400795.545765351, 617767.2388220544 4400778.494423199, 617763.726858841 4400750.464148705)"
Logan Drive,residential,False,119.94200000000001,,40.2,,10.7,"LINESTRING (617809.3946207672 4400858.219093365, 617832.563934412 4400836.071525664, 617846.9499781954 4400812.778899461, 617852.2529045455 4400752.611143803)"
Foster Road,residential,False,5.972,,40.2,,0.5,"LINESTRING (617662.0356098139 4400748.460498244, 617661.8414288104 4400754.419153668)"
Buschmann Road,residential,False,101.521,,40.2,,9.1,"LINESTRING (617662.0356098139 4400748.460498244, 617715.8472889261 4400748.841539888, 617730.1569756255 4400748.950000856, 617738.8034972876 4400749.526701557, 617751.7440619313 4400749.503183441, 617763.726858841 4400750.464148705)"
Foster Road,residential,False,47.598,,40.2,,4.3,"LINESTRING (617662.0356098139 4400748.460498244, 617662.6947905396 4400727.821374975, 617662.8621380236 4400722.495107349, 617662.8495146752 4400700.957547484)"
Sierra Park Drive,residential,False,42.561,,40.2,,3.8,"LINESTRING (617881.2551139006 4400941.042440343, 617908.1189004144 4400974.049843129)"
Sierra Park Drive,residential,False,109.682,,40.2,,9.8,"LINESTRING (617881.2551139006 4400941.042440343, 617820.9366175587 4400870.019794984, 617809.3946207672 4400858.219093365)"
Keith Road,residential,False,55.704,,40.2,,5.0,"LINESTRING (617881.2551139006 4400941.042440343, 617891.4372813179 4400931.45150013, 617903.6396526566 4400916.984632576, 617915.6854358782 4400897.652809745)"
Logan Drive,residential,False,119.94200000000001,,40.2,,10.7,"LINESTRING (617852.2529045455 4400752.611143803, 617846.9499781954 4400812.778899461, 617832.563934412 4400836.071525664, 617809.3946207672 4400858.219093365)"
Buschmann Road,residential,False,49.16,,40.2,,4.4,"LINESTRING (617852.2529045455 4400752.611143803, 617819.4988838969 4400751.542099813, 617814.9648416447 4400751.028432341, 617803.0292462575 4400750.900742095)"
