y,x,street_count,lon,lat,highway,geometry
4400750.464148705,617763.726858841,3,-121.625436,39.74853,,POINT (617763.726858841 4400750.464148705)
4400750.900742095,617803.0292462575,3,-121.6249773,39.7485285,,POINT (617803.0292462575 4400750.900742095)
4400858.219093365,617809.3946207672,3,-121.6248838,39.7494943,,POINT (617809.3946207672 4400858.219093365)
4400748.460498244,617662.0356098139,3,-121.626623,39.748526,,POINT (617662.0356098139 4400748.460498244)
4400941.042440343,617881.2551139006,3,-121.6240304,39.7502304,,POINT (617881.2551139006 4400941.042440343)
4400752.611143803,617852.2529045455,3,-121.6244026,39.7485371,,POINT (617852.2529045455 4400752.611143803)
4400974.049843129,617908.1189004144,3,-121.623711,39.750524,,POINT (617908.1189004144 4400974.049843129)
4401051.686699059,617941.5034663515,3,-121.6233075,39.7512187,,POINT (617941.5034663515 4401051.686699059)
4400964.019344934,618057.2442516641,4,-121.6219726,39.750413,,POINT (618057.2442516641 4400964.019344934)
4401147.039456631,617945.8223378896,3,-121.62324,39.752077,,POINT (617945.8223378896 4401147.039456631)
4401180.044716499,617839.571160509,4,-121.624474,39.752389,traffic_signals,POINT (617839.571160509 4401180.044716499)
4401150.53410768,618064.7953664527,4,-121.621851,39.752092,,POINT (618064.7953664527 4401150.53410768)
4399535.985513448,616603.161422477,1,-121.639194,39.73775,,POINT (616603.161422477 4399535.985513448)
4399664.518140992,616513.787223929,3,-121.640214,39.73892,,POINT (616513.787223929 4399664.518140992)
4399797.413896871,616792.0313833695,3,-121.636944,39.740079,,POINT (616792.0313833695 4399797.413896871)
4399479.472154388,616236.6661415437,3,-121.64348,39.737291,,POINT (616236.6661415437 4399479.472154388)
4404807.191398204,620605.1240321707,3,-121.5915354,39.7846733,,POINT (620605.1240321707 4404807.191398204)
4404807.214076198,620552.9266545989,3,-121.5921448,39.7846809,,POINT (620552.9266545989 4404807.214076198)
4404725.2059596265,620603.878582691,4,-121.591565,39.783935,,POINT (620603.878582691 4404725.205959626)
4404654.699364856,620803.5445083195,3,-121.5892469,39.7832716,,POINT (620803.5445083195 4404654.699364856)
4404717.332218525,620569.1412235518,3,-121.591972,39.783869,,POINT (620569.1412235518 4404717.332218525)
4404687.523600808,620713.7666031661,3,-121.590289,39.78358,,POINT (620713.7666031661 4404687.523600808)
