Name,Type,County,Population2010,LandArea_SqMi,km2,Incorporated,Unknown
Alameda,City,Alameda,"73,812",10.61,27.5,"April 19, 1854",3
Albany,City,Alameda,"18,539",1.79,4.6,22-Sep-08,4
Amador City,City,Amador,185,0.31,0.8,2-Jun-15,8
American Canyon,City,Napa,"19,454",4.84,12.5,1-Jan-92,9
Anderson,City,Shasta,"9,932",6.37,16.5,16-Jan-56,11
Angels Camp,City,Calaveras,"3,836",3.63,9.4,16-Jan-12,12
Antioch,City,Contra Costa,"102,372",28.35,73.4,"February 6, 1872",13
Arcata,City,Humboldt,"17,231",9.1,23.6,"February 2, 1858",16
Arroyo Grande,City,San Luis Obispo,"17,252",5.84,15.1,10-Jul-11,17
Arvin,City,Kern,"19,304",4.82,12.5,21-Dec-60,19
Atascadero,City,San Luis Obispo,"28,310",25.64,66.4,2-Jul-79,20
Atherton,Town,San Mateo,"6,914",5.02,13,12-Sep-23,21
Atwater,City,Merced,"28,168",6.09,15.8,16-Aug-22,22
Auburn,City,Placer,"13,330",7.14,18.5,"May 2, 1888",23
Avenal,City,Kings,"15,505",19.42,50.3,11-Sep-79,25
Bakersfield,City,Kern,"347,483",142.16,368.2,"January 11, 1898",27
Belmont,City,San Mateo,"25,835",4.62,12,29-Oct-26,35
Belvedere,City,Marin,"2,068",0.52,1.3,"December 24, 1896",36
Benicia,City,Solano,"26,997",12.93,33.5,"March 27, 1850",37
Berkeley,City,Alameda,"112,580",10.47,27.1,"April 4, 1878",38
Biggs,City,Butte,"1,707",0.64,1.7,26-Jun-03,41
Blue Lake,City,Humboldt,"1,253",0.59,1.5,23-Apr-10,43
Brentwood,City,Contra Costa,"51,481",14.79,38.3,21-Jan-48,48
Brisbane,City,San Mateo,"4,282",3.1,8,27-Nov-61,49
Burlingame,City,San Mateo,"28,806",4.41,11.4,6-Jun-08,53
Calistoga,City,Napa,"5,155",2.6,6.7,"January 6, 1886",59
Campbell,City,Santa Clara,"39,349",5.8,15,28-Mar-52,61
Capitola,City,Santa Cruz,"9,918",1.59,4.1,11-Jan-49,63
Chico,City,Butte,"86,187",32.92,85.3,"January 8, 1872",71
Chowchilla,City,Madera,"18,720",7.66,19.8,7-Feb-23,74
Citrus Heights,City,Sacramento,"83,301",14.23,36.9,1-Jan-97,76
Clayton,City,Contra Costa,"10,897",3.84,9.9,18-Mar-64,78
Clearlake,City,Lake,"15,250",10.13,26.2,14-Nov-80,79
Cloverdale,City,Sonoma,"8,618",2.65,6.9,"February 28, 1872",80
Clovis,City,Fresno,"95,631",23.28,60.3,27-Feb-12,81
Coalinga,City,Fresno,"13,380",6.12,15.9,3-Apr-06,83
Colfax,City,Placer,"1,963",1.41,3.7,23-Feb-10,84
Colma,Town,San Mateo,"1,792",1.91,4.9,5-Aug-24,85
Colusa,City,Colusa,"5,971",1.83,4.7,"June 16, 1868",87
Concord,City,Contra Costa,"122,067",30.55,79.1,9-Feb-05,90
Corning,City,Tehama,"7,663",3.55,9.2,6-Aug-07,92
Corte Madera,Town,Marin,"9,253",3.16,8.2,10-Jun-16,95
Cotati,City,Sonoma,"7,265",1.88,4.9,16-Jul-63,97
Cupertino,City,Santa Clara,"58,302",11.26,29.2,10-Oct-55,102
Daly City,City,San Mateo,"101,123",7.66,19.8,22-Mar-11,104
Danville,Town,Contra Costa,"42,039",18.03,46.7,1-Jul-82,106
Davis,City,Yolo,"65,622",9.89,25.6,28-Mar-17,107
Del Rey Oaks,City,Monterey,"1,624",0.48,1.2,3-Sep-53,109
Dixon,City,Solano,"18,351",7,18.1,"March 30, 1878",114
Dos Palos,City,Merced,"4,950",1.35,3.5,24-May-35,116
Dublin,City,Alameda,"46,036",14.91,38.6,1-Feb-82,119
East Palo Alto,City,San Mateo,"28,155",2.51,6.5,1-Jul-83,121
El Cerrito,City,Contra Costa,"23,549",3.69,9.6,23-Aug-17,125
Elk Grove,City,Sacramento,"153,015",42.19,109.3,1-Jul-00,128
Emeryville,City,Alameda,"10,080",1.25,3.2,"December 8, 1896",129
Escalon,City,San Joaquin,"7,132",2.3,6,12-Mar-57,131
Eureka,City,Humboldt,"27,191",9.38,24.3,"April 18, 1856",134
Fairfax,Town,Marin,"7,441",2.2,5.7,2-Mar-31,136
Fairfield,City,Solano,"105,321",37.39,96.8,12-Dec-03,137
